Date,Open,High,Low,Close,Adj Close,Volume
2014-04-09,40895.558594,41075.421875,40662.570313,40937.769531,40937.769531,170132700
2014-04-10,40925.628906,41089.789063,40381.261719,40447.960938,40447.960938,193618700
2014-04-11,40447.089844,40455.859375,40020.578125,40380.789063,40380.789063,176577600
2014-04-14,40385.441406,40615.339844,40349.988281,40530.691406,40530.691406,124937600
2014-04-15,40536.171875,40571.230469,40105.289063,40481.800781,40481.800781,163304700
2014-04-16,40481.800781,40891.089844,40481.800781,40890.531250,40890.531250,181153500
2014-04-21,40885.699219,41003.640625,40650.078125,40654.070313,40654.070313,145667700
2014-04-22,40655.359375,40762.761719,40438.800781,40468.199219,40468.199219,210715100
2014-04-23,40466.851563,40496.230469,40168.500000,40296.980469,40296.980469,182696100
2014-04-24,40298.621094,40443.800781,40150.398438,40407.929688,40407.929688,171353500
2014-04-25,40409.519531,40423.960938,39979.531250,40198.398438,40198.398438,182921400
2014-04-28,40198.160156,40314.191406,40038.671875,40136.570313,40136.570313,130568700
2014-04-29,40145.308594,40702.761719,40095.539063,40702.671875,40702.671875,153259400
2014-04-30,40702.808594,40798.429688,40433.660156,40711.558594,40711.558594,298205400
2014-05-02,40729.039063,41053.929688,40729.039063,40967.949219,40967.949219,166721600
2014-05-05,40968.960938,41053.929688,40736.898438,41047.878906,41047.878906,99503900
2014-05-06,41047.328125,41623.691406,40883.390625,41470.820313,41470.820313,148157700
2014-05-07,41471.359375,41826.460938,41368.671875,41803.128906,41803.128906,201117400
2014-05-08,41806.128906,42093.910156,41592.199219,41659.910156,41659.910156,152828600
2014-05-09,41670.570313,41780.648438,41528.761719,41641.109375,41641.109375,171858400
2014-05-12,41641.761719,42086.730469,41591.980469,42086.171875,42086.171875,133906100
2014-05-13,42086.058594,42492.609375,41926.621094,42236.828125,42236.828125,258902900
2014-05-14,42231.781250,42231.781250,42017.988281,42144.511719,42144.511719,208381500
2014-05-15,42143.960938,42200.109375,41531.609375,41561.828125,41561.828125,178484200
2014-05-16,41564.308594,42031.480469,41543.859375,41898.839844,41898.839844,181652000
2014-05-19,41894.718750,41903.019531,41463.089844,41840.050781,41840.050781,295391700
2014-05-20,41836.480469,42001.679688,41668.828125,41805.101563,41805.101563,212326200
2014-05-21,41805.101563,42056.898438,41764.898438,41828.980469,41828.980469,215028900
2014-05-22,41827.601563,42090.281250,41813.148438,41943.960938,41943.960938,195695000
2014-05-23,41946.949219,42035.699219,41818.410156,41917.921875,41917.921875,174316800
2014-05-26,41918.570313,42138.328125,41896.148438,42004.578125,42004.578125,35873900
2014-05-27,42005.289063,42144.250000,41836.800781,41958.968750,41958.968750,188542600
2014-05-28,41958.269531,42022.160156,41862.429688,41960.449219,41960.449219,159257800
2014-05-29,41960.660156,42095.800781,41884.121094,42009.921875,42009.921875,159646100
2014-05-30,42011.660156,42026.558594,41360.808594,41362.511719,41362.511719,607473700
2014-06-02,41375.410156,41953.988281,41375.410156,41936.710938,41936.710938,159929000
2014-06-03,41938.828125,42135.531250,41807.679688,42126.089844,42126.089844,175304800
2014-06-04,42127.898438,42127.898438,41855.050781,41953.300781,41953.300781,136508900
2014-06-05,41956.679688,42276.679688,41949.230469,42173.031250,42173.031250,209660500
2014-06-06,42173.031250,42840.410156,42164.351563,42778.261719,42778.261719,249983700
2014-06-09,42780.851563,43175.769531,42729.660156,43009.988281,43009.988281,144386200
2014-06-10,43009.191406,43049.039063,42821.679688,43045.269531,43045.269531,217772200
2014-06-11,43044.890625,43079.070313,42759.378906,42944.808594,42944.808594,161829300
2014-06-12,42946.320313,43016.480469,42551.929688,42617.621094,42617.621094,123698100
2014-06-13,42602.921875,42874.359375,42485.628906,42485.660156,42485.660156,169407800
2014-06-16,42523.328125,42641.109375,42321.371094,42596.250000,42596.250000,131363600
2014-06-17,42593.230469,42657.351563,42446.468750,42612.640625,42612.640625,93662700
2014-06-18,42612.781250,42821.250000,42525.570313,42802.601563,42802.601563,175284800
2014-06-19,42800.648438,43007.710938,42787.109375,42957.359375,42957.359375,97277000
2014-06-20,42959.828125,43038.578125,42787.640625,42865.718750,42865.718750,447349100
2014-06-23,42865.718750,42948.648438,42691.351563,42916.730469,42916.730469,114987000
2014-06-24,42915.039063,43016.761719,42785.621094,42884.761719,42884.761719,132851000
2014-06-25,42885.660156,42930.011719,42786.371094,42854.191406,42854.191406,176349900
2014-06-26,42864.851563,42916.539063,42613.390625,42613.800781,42613.800781,153736000
2014-06-27,42613.250000,42933.699219,42481.300781,42493.859375,42493.859375,229603000
2014-06-30,42508.078125,42795.148438,42487.468750,42737.171875,42737.171875,258968700
2014-07-01,42744.949219,42944.621094,42602.179688,42872.839844,42872.839844,165060900
2014-07-02,42870.898438,43279.480469,42817.960938,43279.480469,43279.480469,150896500
2014-07-03,43286.308594,43721.769531,43228.218750,43660.699219,43660.699219,173032900
2014-07-04,43660.960938,43669.789063,43485.179688,43518.058594,43518.058594,32528400
2014-07-07,43517.949219,43705.960938,43433.199219,43452.550781,43452.550781,182477800
2014-07-08,43451.968750,43495.390625,43147.671875,43403.429688,43403.429688,153392100
2014-07-09,43394.410156,43821.531250,43353.789063,43686.750000,43686.750000,334296000
2014-07-10,43688.628906,43690.980469,43316.199219,43474.289063,43474.289063,251864400
2014-07-11,43471.578125,43694.109375,43437.660156,43481.828125,43481.828125,198570300
2014-07-14,43474.730469,44001.191406,43474.730469,43967.441406,43967.441406,139888700
2014-07-15,43967.359375,44077.500000,43862.839844,43960.429688,43960.429688,206277600
2014-07-16,43968.468750,44133.230469,43809.011719,44009.230469,44009.230469,149554900
2014-07-17,44011.691406,44083.910156,43837.250000,43920.761719,43920.761719,156451400
2014-07-18,43920.761719,44312.871094,43822.578125,44278.898438,44278.898438,143160800
2014-07-21,44275.800781,44275.800781,44023.691406,44125.730469,44125.730469,155490700
2014-07-22,44123.558594,44512.390625,44123.558594,44257.089844,44257.089844,181490400
2014-07-23,44258.910156,44371.250000,44156.269531,44199.011719,44199.011719,149310000
2014-07-24,44206.398438,44564.171875,44201.179688,44420.378906,44420.378906,167457000
2014-07-25,44426.671875,44559.781250,44272.390625,44386.621094,44386.621094,132525400
2014-07-28,44394.550781,44559.289063,44336.941406,44544.968750,44544.968750,153573800
2014-07-29,44550.441406,44684.558594,44452.878906,44481.289063,44481.289063,129225700
2014-07-30,44479.101563,44714.410156,44271.250000,44311.058594,44311.058594,144478500
2014-07-31,44311.878906,44349.800781,43546.019531,43817.691406,43817.691406,211241000
2014-08-01,43819.429688,44094.828125,43706.820313,43986.109375,43986.109375,162671200
2014-08-04,43983.781250,44676.109375,43982.949219,44594.660156,44594.660156,193884900
2014-08-05,44605.609375,44674.949219,44310.121094,44481.679688,44481.679688,168380800
2014-08-06,44481.531250,44550.289063,44251.320313,44425.769531,44425.769531,158810800
2014-08-07,44435.339844,44541.128906,44064.191406,44116.148438,44116.148438,175936400
2014-08-08,44124.089844,44271.070313,43885.429688,44105.949219,44105.949219,144991500
2014-08-11,44121.000000,44720.410156,44121.000000,44679.160156,44679.160156,165075800
2014-08-12,44673.109375,44869.238281,44609.539063,44734.039063,44734.039063,131497700
2014-08-13,44739.238281,44974.960938,44713.468750,44723.960938,44723.960938,154181600
2014-08-14,44740.648438,44878.699219,44665.960938,44793.019531,44793.019531,137006200
2014-08-15,44793.820313,44863.820313,44474.468750,44629.328125,44629.328125,98928500
2014-08-18,44637.269531,44871.238281,44637.269531,44854.808594,44854.808594,101365800
2014-08-19,44852.789063,45000.621094,44717.878906,44962.878906,44962.878906,176305100
2014-08-20,44970.269531,45250.058594,44808.109375,45248.050781,45248.050781,197824200
2014-08-21,45242.300781,45429.539063,45160.398438,45410.359375,45410.359375,187453700
