Date,Open,High,Low,Close,Adj Close,Volume
2014-04-09,51629.000000,51629.000000,50653.000000,51185.000000,51185.000000,4195300
2014-04-10,51185.000000,51522.000000,50732.000000,51127.000000,51127.000000,3588900
2014-04-11,51127.000000,51871.000000,50518.000000,51867.000000,51867.000000,3395300
2014-04-14,51867.000000,52110.000000,51361.000000,51596.000000,51596.000000,2686800
2014-04-15,51593.000000,51593.000000,49890.000000,50454.000000,50454.000000,3858800
2014-04-16,50469.000000,51288.000000,50469.000000,51201.000000,51201.000000,3427100
2014-04-17,51201.000000,52338.000000,50887.000000,52112.000000,52112.000000,3015500
2014-04-22,52112.000000,52460.000000,51682.000000,51977.000000,51977.000000,3492900
2014-04-23,51975.000000,51975.000000,51400.000000,51570.000000,51570.000000,2844000
2014-04-24,51570.000000,51963.000000,51238.000000,51817.000000,51817.000000,3186900
2014-04-25,51817.000000,51817.000000,51019.000000,51399.000000,51399.000000,2954700
2014-04-28,51397.000000,51471.000000,50777.000000,51384.000000,51384.000000,2711300
2014-04-29,51386.000000,52416.000000,51386.000000,51839.000000,51839.000000,4326300
2014-04-30,51837.000000,51837.000000,51250.000000,51626.000000,51626.000000,4623600
2014-05-02,51630.000000,53060.000000,51628.000000,52980.000000,52980.000000,8106000
2014-05-05,52989.000000,53506.000000,52931.000000,53446.000000,53446.000000,4441100
2014-05-06,53446.000000,53986.000000,53094.000000,53780.000000,53780.000000,4965700
2014-05-07,53786.000000,54226.000000,53499.000000,54053.000000,54053.000000,4569600
2014-05-08,54053.000000,54249.000000,53222.000000,53422.000000,53422.000000,3344300
2014-05-09,53422.000000,53639.000000,53057.000000,53100.000000,53100.000000,3177900
2014-05-12,53103.000000,54053.000000,53103.000000,54053.000000,54053.000000,2744300
2014-05-13,54056.000000,54243.000000,53731.000000,53907.000000,53907.000000,2956600
2014-05-14,53913.000000,54459.000000,53867.000000,54413.000000,54413.000000,2878900
2014-05-15,54404.000000,54404.000000,53565.000000,53856.000000,53856.000000,3436100
2014-05-16,53856.000000,54382.000000,53709.000000,53976.000000,53976.000000,3541400
